,doc_std_name,doc_std_name_id,orbis_name,number_patents,elastic_score,pam_score
0,24 7 CUSTOMER,2684734,24 7 CUSTOMER,2,35.006065,100
1,24 7 CUSTOMER INC,190926,24 7 CUSTOMER,304,31.800917,87
2,"24/7 Customer, Inc.",109693881,24 7 CUSTOMER,1,31.800917,87
3,24/7 CUSTOMER INC,23501910,24 7 CUSTOMER,16,31.800917,87
4,24 7 MEDIA INC,2913014,24 7 CUSTOMER,3,20.373528,59
5,24 7 TECHNOLOGIES INC,5246559,24 7 CUSTOMER,2,20.373528,53
6,24 7 MEDIA INC,2913014,24 7 CUSTOMER,3,20.373528,59
7,24 7 REAL MEDIA INC,2779295,24 7 CUSTOMER,9,18.6646,56
8,EMD 24 7 DEV LLC,2353888,24 7 CUSTOMER,2,18.6646,41
9,CUSTOMER CARE ADVANTAGE,2748801,24 7 CUSTOMER,1,12.579132,56
10,CUSTOMER VALUE INC,4082521,24 7 CUSTOMER,2,12.579132,52
11,CUSTOMER ADVANTAGE LLC,3943972,24 7 CUSTOMER,2,12.579132,51
12,CUSTOMER MOTIVATORS LLC,4102993,24 7 CUSTOMER,4,12.579132,44
13,24 8 LLC,4009904,24 7 CUSTOMER,11,12.147498,48
14,EMERGENCY 24 INC,1925684,24 7 CUSTOMER,19,12.147498,41
15,"EMERgency,24, Inc.",109615867,24 7 CUSTOMER,1,12.147498,41
16,24/8 LLC,111420098,24 7 CUSTOMER,3,12.147498,48
17,CITY24 7,21771230,24 7 CUSTOMER,2,11.431606,38
18,APAC CUSTOMER SERVICES INC,5091300,24 7 CUSTOMER,5,11.427388,46
19,GLOBAL CUSTOMER SATISFACTION S,17247639,24 7 CUSTOMER,1,11.427388,37
20,24 M TECHNOLOGIES INC,4364501,24 7 CUSTOMER,2,11.035275,41
21,LEAPFROG ONLINE CUSTOMER ACQUISITION LLC,4375129,24 7 CUSTOMER,1,10.46886,34
22,CONVERGYS CUSTOMER MAN GROUP INC,19585593,24 7 CUSTOMER,5,10.46886,40
23,CONVERGYS CUSTOMER MAN GROUP I,2428624,24 7 CUSTOMER,13,10.46886,42
24,CONVERGYS CUSTOMER MAN DELAWARE LLC,4520951,24 7 CUSTOMER,19,10.46886,38
25,Convergys Customer Management Delaware LLC,153561530,24 7 CUSTOMER,3,10.46886,33
26,GEORGIA-PACIFIC CUSTOMER PRODUCTS LP,111638071,24 7 CUSTOMER,1,10.46886,33
27,TRANSMED 7 LLC,19661841,24 7 CUSTOMER,2,10.279437,44
28,DBL 7 LLC,3527016,24 7 CUSTOMER,3,10.279437,27
29,AUCTNYC 7 LLC,4436981,24 7 CUSTOMER,1,10.279437,31
30,SYSTEMS LLC 7,3014404,24 7 CUSTOMER,2,10.279437,46
31,ELEVEN INC 7,4167695,24 7 CUSTOMER,13,10.279437,24
32,MOBILE SYSTEM 7,22670748,24 7 CUSTOMER,1,10.279437,36
33,MULLIGAN 7 LLC,22191829,24 7 CUSTOMER,2,10.279437,30
34,GEN 7 INC,22244573,24 7 CUSTOMER,4,10.279437,27
35,7 TEL INC,1979507,24 7 CUSTOMER,4,10.279437,45
36,DEGREES INC 7,4441107,24 7 CUSTOMER,2,10.279437,31
37,COUSINS LLC 7,4582284,24 7 CUSTOMER,3,10.279437,38
38,CT 7 INC,15704361,24 7 CUSTOMER,6,10.279437,38
39,7-SIGMA INC,23914653,24 7 CUSTOMER,1,10.279437,42
40,"Project 7, Inc.",111480818,24 7 CUSTOMER,1,10.279437,38
41,"LEVEL 7, LLC",111896557,24 7 CUSTOMER,2,10.279437,25
42,7 A.M. Enfant,109526017,24 7 CUSTOMER,1,10.279437,32
43,3D SYSTEMS,9721773,3D SYSTEMS,2,17.621357,100
44,3D SYSTEMS INC,14782,3D SYSTEMS,1040,15.845335,83
45,3D SYSTEMS CORP,4573051,3D SYSTEMS,1,15.845335,80
46,3D VISION SYSTEMS LLC,167347,3D SYSTEMS,4,14.394537,65
47,3D SYSTEMS INC A CALIFORNIA CO,4030571,3D SYSTEMS,1,12.166594,50
48,XG 3D,2809412,3D SYSTEMS,5,11.012909,40
49,PINPOINT 3D,19626638,3D SYSTEMS,11,11.012909,38
50,QUANTUM 3D,2541942,3D SYSTEMS,8,11.012909,50
51,TRICK 3D,23463286,3D SYSTEMS,2,11.012909,44
52,XG 3D,2809412,3D SYSTEMS,5,11.012909,40
53,3M INNOVATIVEPROPERTIES COMPAN,3755514,3M,1,11.670685,12
54,3M INNOVATIVE PROPERTIESCOMPAN,3399951,3M,1,11.670685,12
55,3M INNOVATIVE PROPERTIES,2259698,3M,28,11.670685,15
56,3M INNOVATIVE CO,6893692,3M,3,11.670685,22
57,3M INNOVATION INC,7690353,3M,5,11.670685,21
58,3M ESPE AG,103721,3M,788,11.670685,33
59,3M INNOVATIVE PROPERITES COMPANY,19613541,3M,2,10.6021185,12
60,3M INNOVATIVE PROERTIES COMPANY,19576894,3M,2,10.6021185,12
61,3M IINNOVATIVE PROPERTIES COMPANY,19657106,3M,2,10.6021185,11
62,3M INNNOVATVE PROPERTIES COMPANY,21774548,3M,1,10.6021185,12
63,3M INOOVATIVE PROPERTIES COMPANY,21775888,3M,1,10.6021185,12
64,3M INNIVATIVE PROPERTIES COMPANY,18669870,3M,3,10.6021185,12
65,3M INNOVATIVE PROPERTIES CO,4918,3M,65097,10.6021185,14
66,3M INNONATIVE PROPERTIES COMPA,3687443,3M,1,10.6021185,12
67,3M INNOVATIVE PROPERTIES CORNP,2969027,3M,1,10.6021185,12
68,3M INNOVATIVE PROPETIES COMPAN,3539767,3M,1,10.6021185,12
69,3M INNOVANTIVE PROPERTIES COMPANY,21081286,3M,10,10.6021185,11
70,3M INNOVATIVE PPROPERTIES COMPANY,21810475,3M,2,10.6021185,11
71,3M INNOVATICE PROPERTIES COMPANY,19499628,3M,3,10.6021185,12
72,3M INNOVATIVES PROPERTIES COMPANY,19582498,3M,4,10.6021185,11
73,3M INNOVATIVE PORPERTIES COMPANY,20646143,3M,22,10.6021185,12
74,3M INNOVATION PROPERTIES COMPANY,19579331,3M,40,10.6021185,12
75,3M INNOBATIVE PROPERTIES COMPANY,22246858,3M,4,10.6021185,12
76,3M INNOOVATIVE PROPERTIES COMPANY,22231607,3M,2,10.6021185,11
77,3M INNOVATATIVE PROPERTIES COMPANY,22236441,3M,2,10.6021185,11
78,3M INNOVATIVE PROPETIES COMPANY,18159018,3M,3,10.6021185,12
79,3M INNOVATIVE PROPERITES COMPA,2313453,3M,3,10.6021185,12
80,3M INNOVATIVE PEROPERTIES COMP,3107986,3M,1,10.6021185,12
81,3M INNOVAIVE PROPERTIES COMPAN,2907702,3M,1,10.6021185,12
82,3M INNOVATIE PROPERTIES COMPAN,3173384,3M,8,10.6021185,12
83,3M INNOVATIVE PROPERTIES COMAP,2219890,3M,7,10.6021185,12
84,3M INNOVATION PROPERTIES COMPA,2316835,3M,6,10.6021185,12
85,3M INNOVATIVE PROPRTIES COMPAN,2566586,3M,1,10.6021185,12
86,3M INNOVATIVE CO LTD,7014179,3M,24,10.6021185,18
87,3M INNOVATION CO LTD,6636720,3M,275,10.6021185,18
88,3M INNNOVATIVE PROPERTIES COMP,16845894,3M,1,10.6021185,12
89,3M INNOVATE PROPERTIES COMPANY,16879784,3M,7,10.6021185,12
90,3M INNOVATIVE PROPERTIES COMPANY,16200734,3M,2,10.6021185,12
91,3M INNOVATIVE PROPERTIES GMBH,23794703,3M,2,10.6021185,13
92,3M Innovative Properites Company,111647633,3M,1,10.6021185,12
93,3M INOVATIVE PROPERTIES COMPANY,23510106,3M,4,10.6021185,12
94,3M Innovative Proerties Company,106385151,3M,3,10.6021185,12
95,3M INNOVATION CO LTD,6636720,3M,275,10.6021185,18
96,3M INNOVATIVE PROPERTIES COMPANY,147271810,3M,2,10.6021185,12
97,3M INNOVATIVE PROPERTIES CO,4918,3M,65097,10.6021185,14
98,3M INNOVATIVE PROPERTIES OCMPANY,23040244,3M,4,10.6021185,12
99,COMPANY 3M INNOVATIVE PROPERTIES,22229289,3M,1,10.6021185,12
100,3M Innovative Peroperties Company,107289960,3M,1,10.6021185,11
101,3M Innovative Properties Company,152602813,3M,3,10.6021185,12
102,3M INNOVATIVE PROPERTIES COMMPANY,23902870,3M,2,10.6021185,11
103,3M Innovative Proprerties Company,110782808,3M,3,10.6021185,11
104,3M INNOVATIVE PROPERTIES COMPANY,111084709,3M,2,10.6021185,12
105,3M INNOVATIVE PROPERITIES COMPANY,111857136,3M,2,10.6021185,11
106,3SHAPE APS,232684,3SHAPE,9,16.406506,75
107,3SHAPE AS,76993,3SHAPE,397,16.406506,80
108,3SHAPE AS,76993,3SHAPE,397,16.406506,80
109,3SHAPE APS,232684,3SHAPE,9,16.406506,75
110,3SHAPE A/S,151367980,3SHAPE,3,14.752927,75
111,4SC AG,15133,4SC,548,16.967716,67
112,4SC DISCOVERY GMBH,4069582,4SC,75,15.257573,29
113,4SC A G,9973537,4SC,3,15.257573,60
114,4SC DISCOVERY GMBH,4069582,4SC,75,15.257573,29
115,D & A KK,13096911,A & ACY D,1,11.058397,46
116,A & D KK,13045065,A & ACY D,2,11.058397,46
117,A & D CO LTD,206820,A & ACY D,526,10.045893,59
118,D & A SYSTEMS KK,13096999,A & ACY D,2,10.045893,29
119,CREATIVE D & A KK,12997530,A & ACY D,1,10.045893,45
120,A & D NETWORK KK,13052365,A & ACY D,1,10.045893,29
121,A&D COMPANY LTD,23085743,A & ACY D,5,10.045893,55
122,A & D CO LTD,206820,A & ACY D,526,10.045893,59
123,SMITH CORP A O,73271,A O SMITH,2613,19.486898,78
124,SMITH CORP A O,73271,A O SMITH,2613,19.486898,78
125,A O SMITH HOLDING COMPANY,2361206,A O SMITH,2,17.852339,53
126,R A SMITH NAT,3217394,A O SMITH,2,13.379557,73
127,JUDSON A SMITH COMPANY,3698451,A O SMITH,1,13.379557,58
128,SMITH & NEPHEW A MASSACHUSETTS,16764936,A O SMITH,1,13.379557,43
129,SMITH & NEPHEW INC A DELAWARE,2246476,A O SMITH,6,12.257279,44
130,C O CHARLES E SMITH MAN INC,20537520,A O SMITH,1,11.89337,50
131,SMITH INTERNATIONAL,57093,A O SMITH,5131,11.08228,57
132,SMITH WAYNE,115370,A O SMITH,41,11.08228,50
133,SMITH & NEPHEW,60923,A O SMITH,3882,11.08228,57
134,SMITH AEROSPACE,2999550,A O SMITH,2,11.08228,67
135,SMITH HERCHEL,2897104,A O SMITH,358,11.08228,55
136,SMITH COLIN,633799,A O SMITH,142,11.08228,70
137,SMITH INTERNAT,2296950,A O SMITH,59,11.08228,61
138,SMITH & LOVELESS,2237880,A O SMITH,3,11.08228,61
139,SMITH SYSTEM,4521077,A O SMITH,5,11.08228,48
140,SMITH BROTHERS,6106619,A O SMITH,9,11.08228,61
141,Smith; David,107870475,A O SMITH,2,11.08228,70
142,SMITH WAYNE,115370,A O SMITH,41,11.08228,50
143,SMITH COLIN,633799,A O SMITH,142,11.08228,70
144,Smith; Lee,110034739,A O SMITH,1,11.08228,67
145,SMITH HERCHEL,2897104,A O SMITH,358,11.08228,55
146,Smith; Warren,105869929,A O SMITH,2,11.08228,48
147,SMITH G,4620900,A O SMITH,61,11.08228,75
148,A & O TECHNOLOGIES LLC,22218879,A O SMITH,8,10.434003,41
149,D O A INC,2288250,A O SMITH,5,10.434003,44
150,A P MOLLER—MAERSK AS,22659080,P MOLLER MAERSK,1,27.732971,86
151,A.P Moller-Maersk A/S,106173295,P MOLLER MAERSK,1,22.955467,83
152,A P MOELLER MAERSK AS,1916581,P MOLLER MAERSK,2,15.682751,83
153,A P MØLLER - MAERSK AS,23462410,P MOLLER MAERSK,3,15.682751,82
154,MAERSK AS,1058890,P MOLLER MAERSK,20,14.5721855,50
155,MOLLER & DEVICON AS,892876,P MOLLER MAERSK,9,14.479259,56
156,MAERSK MEDICAL AS,425513,P MOLLER MAERSK,96,13.103484,56
157,MAERSK OLIE & GAS,110896,P MOLLER MAERSK,391,13.103484,67
158,MAERSK LINE AS,23890236,P MOLLER MAERSK,3,13.103484,41
159,MAERSK MEDICAL AS,425513,P MOLLER MAERSK,96,13.103484,56
160,MAERSK DRILLING AS,22309014,P MOLLER MAERSK,58,13.103484,42
161,MAERSK OLIE & GAS,110896,P MOLLER MAERSK,391,13.103484,67
162,MAERSK DRILLING AS,22309014,P MOLLER MAERSK,58,13.103484,42
163,MAERSK CONTAINER IND AS,170205,P MOLLER MAERSK,130,11.90373,37
164,AP MOELLER MAERSK AS,163664,P MOLLER MAERSK,139,11.90373,74
165,MAERSK SUPPLY SERVICE AS,17869524,P MOLLER MAERSK,36,11.90373,56
166,MAERSK OLIE & GAS AS,1777057,P MOLLER MAERSK,3,11.90373,61
167,MAERSK OIL QATAR AS,2016876,P MOLLER MAERSK,24,11.90373,59
168,MAERSK MEDICAL AS HAARLEV,9684744,P MOLLER MAERSK,2,11.90373,45
169,MAERSK DRILLING A/S,152509848,P MOLLER MAERSK,4,11.90373,41
170,AP MOELLER MAERSK AS,163664,P MOLLER MAERSK,139,11.90373,74
171,MAERSK CONTAINER IND AS,170205,P MOLLER MAERSK,130,11.90373,37
172,RAYMOND A,2359553,A RAYMOND,638,18.335438,100
173,RAYMOND A & CIE,75543,A RAYMOND,2377,16.487444,82
174,RAYMOND A FA,4723393,A RAYMOND,294,16.487444,86
175,FABER CASTELL A W,483270,W FABER CASTELL UNTERNEHMENSVERWALTUNG,1009,29.764172,55
176,FABER CASTELL AG,199928,W FABER CASTELL UNTERNEHMENSVERWALTUNG,232,25.604042,48
177,A W FABER CASTELL BLEISTIFT FA,4786225,W FABER CASTELL UNTERNEHMENSVERWALTUNG,100,25.15736,44
178,CASTELL NIKOLAUS,24206928,W FABER CASTELL UNTERNEHMENSVERWALTUNG,2,14.926575,41
179,CASTELL SICHERHEITSSYSTEME GMB,9689470,W FABER CASTELL UNTERNEHMENSVERWALTUNG,10,13.422154,47
180,CASTELL LIFE SAFE GMBH,17565984,W FABER CASTELL UNTERNEHMENSVERWALTUNG,1,12.193224,43
181,FABER RECYCLING GMBH,325048,W FABER CASTELL UNTERNEHMENSVERWALTUNG,17,12.181888,38
182,WILHELM FABER GMBH,9980818,W FABER CASTELL UNTERNEHMENSVERWALTUNG,1,12.181888,32
183,FABER RECYCLING GMBH,325048,W FABER CASTELL UNTERNEHMENSVERWALTUNG,17,12.181888,38
184,SWIETELSKY FABER GMBH KANALSANIERUNG,22833887,W FABER CASTELL UNTERNEHMENSVERWALTUNG,1,11.066515,43
185,A10 NETWORKS INC,1857552,A10 NETWORKS,174,24.256338,86
186,A10 NETWORKS INC,1857552,A10 NETWORKS,174,24.256338,86
